F (vij);prediction_trainig;F_ref;nirK2;ppx;ppk;nirS1;nirS3;nifH;pqqC;phoX;mmoX;naglu;nirK3;sga
1;training;0.25;0.034393213;-0.175457188;0.000286969;0.149154063;-0.012682088;3.22E-15;-9.39E-05;0.00039171;-0.055641663;0.035863605;0.000751831;-0.000549689
0;training;0.5;-0.015217511;0.090705274;4.92E-05;-0.087586655;-0.005225516;-0.05405898;-7.99E-15;0.035881023;-0.09045826;-0.216266327;-0.000833186;1.63E-08
1;training;0.25;0.118375658;-0.170161432;9.29E-05;-0.009744255;0.009775164;0.007666434;-0.00118074;0.030534281;0.002732483;-0.000248419;-0.040602959;-0.000172701
1;prediction;0.5;0.063363783;0.079395732;-6.26E-05;-0.000366423;-0.002027939;-4.61E-12;0.00012678;-0.000659425;0.012184035;0.066091137;0.013391656;0.000924129
1;training;0.25;-0.299033463;0.093510876;-5.71E-05;-0.101017163;-0.012244214;0.002074384;-4.11E-09;-0.018009441;-0.008187352;-0.090550008;-0.000108817;-3.94E-05
0;training;0.5;0.149873074;0.199818723;-0.000190977;0.053252466;0.052018958;0.224948638;4.30E-12;-0.040322593;0.083609091;0.110611688;0.177688006;0.000592302
1;training;0.75;0.03620656;-0.020372164;-7.74E-05;0.013617194;-0.016133187;-0.024071452;-0.001273304;-0.006548124;-0.017471395;-0.081156128;0.051532867;-0.022371113
0;prediction;0.25;0.279838704;0.048782106;-0.337266383;-0.036448586;-0.180572279;0.00104808;-4.09E-08;-0.336520096;-0.3195911;-0.337590056;-0.02587337;-1.43E-05
0;training;0.75;0.011032802;0.047516644;0.000499605;0.001231274;0.021644422;0.079037518;0;0.000461424;0.033629421;0.103196498;0.02797532;-1.06E-07
1;training;0.25;0.265115482;0.055796605;0.000196699;-0.020844987;0.014459397;0.011448726;8.31E-08;-0.000222344;0.006548036;-0.000242149;-0.024279868;-4.56E-06
1;training;0.5;-0.031985801;-0.025860041;3.70E-05;-0.016793577;0.004350805;0.012170533;0;-0.001571151;-0.016799398;-0.058830769;-0.000530702;-0.000371676
1;prediction;0.5;0.006032544;0.113872993;-0.000217757;-0.00278978;0.008578259;0.019043135;1.88E-07;-0.006616629;-0.003563995;-0.101662803;0.043166681;5.08E-05
1;training;0.5;0.122595004;-0.165104145;-7.12E-05;0.004048109;-0.015370514;-0.028045742;-1.92E-08;0.007759282;-0.016938232;0.285407625;0.010888507;-0.001430413
1;training;0.5;-0.047740901;0.125393049;-0.000129959;-0.00897062;-0.014745776;-0.093847348;-7.99E-15;0.056934058;0.001571059;3.80E-05;0.00336679;4.66E-08
0;training;0.5;-0.028018631;-0.020116308;0.000116638;-0.098027311;-0.00301762;-0.017547923;-1.13E-10;-0.010673442;-0.038159661;-0.020116308;-4.19E-05;-3.80E-07
0;prediction;0.75;-0.229385024;-0.183563621;5.68E-05;-0.150140965;-0.008888857;-0.072553618;-3.81E-09;-0.022551821;-0.022931647;-0.214575021;-0.095104492;-0.003794725
0;training;0.5;-0.171856165;-0.079347015;1.04E-05;-0.137980195;0.004456638;0.000704102;0;-0.021473496;-0.023057249;-0.113024794;-0.000755362;-0.00037166
1;training;0.25;0.012086168;0.05403059;-0.000246129;0.052504432;0.008694766;0.07008444;0;-0.0135418;-0.007992305;0.040375856;7.32E-05;7.34E-09
0;training;0.25;0.174975579;-0.04814804;0.000245526;0.115241883;0.016064592;0.018323722;0;0.009353217;0.024973601;0.059702479;0.00018356;7.25E-07
0;prediction;0.25;0.250853903;0.047547642;0.000204413;-0.1315369;0.010152348;-1.36E-06;-4.09E-08;-0.00069688;0.003051267;-1.22E-05;-0.028169433;-5.60E-06
1;training;0.25;0.079189664;0.077509969;0.000230749;0.037453226;0.025150093;0.043114371;0.001273492;0.000203411;0.036966765;0.039944819;0.004927053;0.022414543
0;training;0.5;0.020605727;0.082612749;0.000682313;-0.078873026;0.03082201;-2.68E-09;-9.81E-09;-0.001195811;0.055668266;0.110171981;-0.024025452;-3.46E-05
1;training;0.75;-0.047411128;0.071812981;-0.000239789;0.032041579;-0.011873528;0.072869661;1.78E-09;-0.010328464;0.008122021;0.115224967;0.011711609;6.00E-06
0;prediction;0.25;-0.113403534;0.090724171;0.337543806;0.037543878;0.196128588;0.046147471;1.66E-05;0.333838442;0.320894721;0.217528063;-0.002154588;3.64E-07
1;training;0.75;-0.117957601;0.015351781;6.43E-05;-0.008582512;0.040884863;0.088560578;1.95E-13;-0.020977038;0.004494249;-0.055758249;-0.0131845;-2.53E-06
1;training;0.25;-0.016440737;-0.139268845;-0.000162738;0.015679783;-0.012439778;1.43E-07;-1.00E-08;-0.002187897;-0.072790205;-0.117145862;-0.012417138;-0.003100328
1;training;0.25;0.191423714;0.106859342;-3.98E-05;-0.014751817;-0.010411843;-1.34E-06;-4.09E-08;-0.002591298;-0.022040853;3.52E-05;-0.023987207;-1.43E-05
0;prediction;0.5;-0.082374708;-0.076602368;-6.63E-06;0.043998096;-0.013833257;0;-9.00E-08;0.000807904;-0.024933432;-0.047144897;0.011733879;0.001247516
1;training;0.75;0.10654572;-0.035868187;-0.000281336;0.007122318;-0.020866771;0;-1.22E-09;0.000400448;-0.056452971;-0.06177523;0.000522449;-0.001011057
1;training;0.5;-0.104382927;-0.270288258;-0.000451037;0.049578668;-0.064001452;7.34E-05;-1.00E-07;-0.002383557;-0.07040236;-0.207411899;-0.000595387;-0.001853178
1;training;0.75;-0.020685921;0.14974529;-0.000123714;-0.003448978;0.024337115;0.019043135;1.88E-07;-0.007260274;0.045803612;-0.077103641;0.055790089;5.08E-05
1;prediction;0.5;-0.045742756;0.058705782;-9.86E-05;-0.023795265;-0.000749322;0.00704886;0.008352032;-0.046379707;-0.034617673;0.221779978;-0.002493672;-0.001430411
1;training;0.25;-0.08772054;0.002140261;0.239156314;-0.019310036;-0.027766789;-0.036879362;2.22E-16;-0.018869712;-0.023231521;0.096507208;0.000543605;-1.38E-06
1;training;0.25;0.210656718;-0.087203353;0.00026402;0.111308141;0.009337527;-0.000221628;0;0.009633211;0.0303776;-0.004864099;3.20E-09;-7.82E-08
1;training;0.25;-0.123195788;-0.027960856;0.188213557;-0.056032654;-0.075087718;-1.98E-05;0;0.187782977;-0.018154916;-0.016646346;-2.50E-06;6.20E-08
1;prediction;0.75;-0.160392759;-0.080896286;-0.000180696;-0.001967189;-0.004112608;0.017547923;1.13E-10;-0.001368686;-0.001850616;-0.07589687;-0.000144583;3.87E-07
1;training;0.25;0.00513108;-0.197103426;0.105529131;0.004277197;-0.052358392;-0.000179807;0;0.000190896;-0.068003235;0.031898796;0.044908474;-0.014951228
0;training;0.5;-0.232588213;-0.054255687;-0.00044754;-0.161172178;-0.01071492;0.000130159;-0.001504977;-0.012375709;-0.002446215;-0.079951513;-0.038592029;-0.011321411
1;training;0.5;0.160665149;0.192589006;-0.000677589;-0.081648261;-0.002283056;-0.000218292;3.44E-05;0.13671558;0.032199193;0.209384749;0.000385125;0.001779006
0;prediction;0.5;-0.026020557;0.146688663;0.000418329;0.035065451;0.039297615;0.157963163;4.75E-07;0.009341316;0.043238574;0.046097222;0.079000424;0.011281083
1;training;0.25;-0.058518133;0.068036666;-7.38E-05;-0.023429926;-0.003389419;-0.012102309;0.008335451;-0.05113042;-0.026042549;-0.004679652;-0.000154615;-3.62E-07
0;training;0.75;0.22149899;0.03503796;-1.22E-05;0.329671744;0.025028068;6.96E-06;4.16E-08;0.00371681;-0.018818718;-0.0875548;0.000577098;-1.24E-05
1;training;0.25;0.102860714;-0.14108257;0.000150506;0.01011001;-0.007603234;-0.003783101;-0.001180864;0.029935758;0.000488857;-0.10459696;-0.044361406;0.001654148
1;prediction;0.5;-0.015298297;-0.035972433;-0.000426462;-0.255876902;-0.02328901;-0.022183172;0;-0.018479264;-0.101498573;-0.056061175;-4.45E-06;-9.98E-10
0;training;0.5;0.052620744;-0.036367367;0.00019801;-0.289250408;0.01573716;-0.074911907;-1.78E-09;-0.057854454;-0.030133373;-0.099421109;-0.011711645;-6.07E-06
0;training;0.5;-0.034375494;-0.037968542;0.000667947;0.108331113;0.052303876;0.157963163;-0.000126373;-0.000915049;-0.003130863;0.008650217;0.062538065;0.010318454
1;training;0.75;0.12353565;-0.009815623;3.22E-05;-0.300040653;-0.02057063;-1.43E-07;-3.13E-13;-0.291633749;0.043095032;-0.073610865;-4.75E-05;6.46E-06
1;prediction;0.75;0.105854543;0.101252615;9.18E-05;0.001563582;0.055640646;0.180891314;1.95E-13;-0.019555062;0.063426893;0.005565891;0.009978612;-1.71E-06
1;training;0.5;-0.011769319;-0.069496294;8.11E-05;0.028787715;-0.056689663;-0.011450086;0.000963445;0.000972617;-0.020124521;-0.074812829;0.004482095;-9.39E-06
1;training;0.25;0.037076486;-0.072698224;-9.15E-05;0.013574108;0.012556507;0.093847364;7.99E-15;-0.059928036;-0.012604281;0.214260669;0.000832806;-0.000159566
